,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set2-0_cpu,simple-stateful-set2-0_memory,simple-stateful-set2-1_cpu,simple-stateful-set2-1_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Sat Feb 11 00:48:22 2023,0.69934,232965166n,2072612Ki,100628517n,1271112Ki,84709762n,1235356Ki,215159332n,1438276Ki,93090583n,1038692Ki,83988371n,1176420Ki,0,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:24 2023,0.763266,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:26 2023,0.845298,232965166n,2072612Ki,100628517n,1271112Ki,84709762n,1235356Ki,215159332n,1438276Ki,93090583n,1038692Ki,83988371n,1176420Ki,0,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:28 2023,0.874281,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:30 2023,0.855042,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:32 2023,0.658215,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:34 2023,1.030862,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:36 2023,1.029703,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:38 2023,0.927202,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:40 2023,1.249912,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:42 2023,1.057994,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:44 2023,0.894989,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:46 2023,0.886855,301936991n,2075672Ki,121648758n,1273620Ki,138705611n,1238780Ki,302787901n,1438196Ki,130392873n,1041184Ki,134672954n,1179892Ki,81672n,3344Ki,95308n,3296Ki,0,18376Ki
Sat Feb 11 00:48:48 2023,0.864284,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:50 2023,0.840287,301936991n,2075672Ki,121648758n,1273620Ki,138705611n,1238780Ki,302787901n,1438196Ki,130392873n,1041184Ki,134672954n,1179892Ki,81672n,3344Ki,95308n,3296Ki,0,18376Ki
Sat Feb 11 00:48:52 2023,1.234543,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:54 2023,0.900101,301936991n,2075672Ki,121648758n,1273620Ki,138705611n,1238780Ki,302787901n,1438196Ki,130392873n,1041184Ki,134672954n,1179892Ki,81672n,3344Ki,95308n,3296Ki,0,18376Ki
Sat Feb 11 00:48:56 2023,0.89146,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:58 2023,1.229512,265367042n,2072732Ki,86267303n,1271152Ki,93778926n,1238652Ki,252955892n,1434744Ki,85936551n,1038684Ki,84753097n,1179664Ki,511884n,3348Ki,144275n,3296Ki,0,18376Ki
Sat Feb 11 00:49:00 2023,1.046596,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:02 2023,1.124784,265367042n,2072732Ki,86267303n,1271152Ki,93778926n,1238652Ki,252955892n,1434744Ki,85936551n,1038684Ki,84753097n,1179664Ki,511884n,3348Ki,,,0,18376Ki
Sat Feb 11 00:49:04 2023,1.074513,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:06 2023,0.952143,265367042n,2072732Ki,86267303n,1271152Ki,93778926n,1238652Ki,252955892n,1434744Ki,85936551n,1038684Ki,84753097n,1179664Ki,511884n,3348Ki,144275n,3296Ki,0,18376Ki
Sat Feb 11 00:49:08 2023,0.739876,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:10 2023,0.982046,265367042n,2072732Ki,86267303n,1271152Ki,93778926n,1238652Ki,252955892n,1434744Ki,85936551n,1038684Ki,84753097n,1179664Ki,511884n,3348Ki,144275n,3296Ki,0,18376Ki
Sat Feb 11 00:49:12 2023,1.250056,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:14 2023,0.931076,313359020n,2076956Ki,148398u,1271132Ki,243401527n,1238196Ki,275762286n,1438172Ki,130022878n,1042492Ki,140977638n,1179908Ki,,,,,0,18376Ki
Sat Feb 11 00:49:16 2023,1.095994,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:18 2023,0.79497,313359020n,2076956Ki,148398u,1271132Ki,243401527n,1238196Ki,275762286n,1438172Ki,130022878n,1042492Ki,140977638n,1179908Ki,,,,,0,18376Ki
Sat Feb 11 00:49:20 2023,0.978321,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:22 2023,1.226713,313359020n,2076956Ki,148398u,1271132Ki,243401527n,1238196Ki,275762286n,1438172Ki,130022878n,1042492Ki,140977638n,1179908Ki,,,,,0,18376Ki
Sat Feb 11 00:49:24 2023,0.926123,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:26 2023,0.921428,313359020n,2076956Ki,148398u,1271132Ki,243401527n,1238196Ki,275762286n,1438172Ki,130022878n,1042492Ki,140977638n,1179908Ki,,,,,0,18376Ki
Sat Feb 11 00:49:28 2023,1.122869,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:30 2023,1.020461,320497833n,2076516Ki,175026911n,1274224Ki,136663277n,1239020Ki,285579541n,1438308Ki,129854985n,1042808Ki,131187940n,1179620Ki,,,1889556n,3380Ki,0,18376Ki
Sat Feb 11 00:49:32 2023,0.901061,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:34 2023,1.02256,320497833n,2076516Ki,175026911n,1274224Ki,136663277n,1239020Ki,285579541n,1438308Ki,129854985n,1042808Ki,131187940n,1179620Ki,,,1889556n,3380Ki,0,18376Ki
Sat Feb 11 00:49:36 2023,0.88167,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:38 2023,0.926562,320497833n,2076516Ki,175026911n,1274224Ki,136663277n,1239020Ki,285579541n,1438308Ki,129854985n,1042808Ki,131187940n,1179620Ki,,,1889556n,3380Ki,0,18376Ki
Sat Feb 11 00:49:40 2023,1.034767,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:42 2023,0.866974,320497833n,2076516Ki,175026911n,1274224Ki,136663277n,1239020Ki,285579541n,1438308Ki,129854985n,1042808Ki,131187940n,1179620Ki,,,1889556n,3380Ki,0,18376Ki
Sat Feb 11 00:49:44 2023,0.760465,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:46 2023,1.107832,260859852n,2073024Ki,85136824n,1270912Ki,84245527n,1234804Ki,272276415n,1449644Ki,78974328n,1039028Ki,78078791n,1176296Ki,334914n,3268Ki,129059n,3380Ki,0,18376Ki
Sat Feb 11 00:49:48 2023,1.341294,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:50 2023,0.958592,260859852n,2073024Ki,85136824n,1270912Ki,84245527n,1234804Ki,272276415n,1449644Ki,78974328n,1039028Ki,78078791n,1176296Ki,334914n,3268Ki,129059n,3380Ki,0,18376Ki
Sat Feb 11 00:49:52 2023,1.321592,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:54 2023,0.995431,260859852n,2073024Ki,85136824n,1270912Ki,84245527n,1234804Ki,272276415n,1449644Ki,78974328n,1039028Ki,78078791n,1176296Ki,334914n,3268Ki,129059n,3380Ki,0,18376Ki
Sat Feb 11 00:49:56 2023,0.903356,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:49:58 2023,0.923986,280075233n,2077208Ki,112041482n,1273428Ki,128312549n,1238728Ki,294709273n,1436628Ki,109386763n,1042512Ki,117911629n,1178552Ki,142084n,3280Ki,185949n,3388Ki,0,18376Ki
Sat Feb 11 00:50:00 2023,1.218033,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:50:02 2023,0.896675,280075233n,2077208Ki,112041482n,1273428Ki,128312549n,1238728Ki,294709273n,1436628Ki,109386763n,1042512Ki,117911629n,1178552Ki,142084n,3280Ki,185949n,3388Ki,0,18376Ki
Sat Feb 11 00:50:04 2023,0.951524,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:50:06 2023,1.025682,280075233n,2077208Ki,112041482n,1273428Ki,128312549n,1238728Ki,294709273n,1436628Ki,109386763n,1042512Ki,117911629n,1178552Ki,142084n,3280Ki,185949n,3388Ki,0,18376Ki
Sat Feb 11 00:50:08 2023,0.945786,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:50:10 2023,0.958329,280075233n,2077208Ki,112041482n,1273428Ki,128312549n,1238728Ki,294709273n,1436628Ki,109386763n,1042512Ki,117911629n,1178552Ki,142084n,3280Ki,185949n,3388Ki,0,18376Ki
Sat Feb 11 00:50:12 2023,1.112346,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:50:14 2023,1.039868,296793156n,2077448Ki,129621440n,1273972Ki,141476523n,1238776Ki,298843681n,1438140Ki,125715258n,1041624Ki,133708829n,1179832Ki,142084n,3280Ki,155538n,3396Ki,0,18376Ki
Sat Feb 11 00:50:16 2023,1.12815,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:50:18 2023,1.046581,296793156n,2077448Ki,129621440n,1273972Ki,141476523n,1238776Ki,298843681n,1438140Ki,125715258n,1041624Ki,133708829n,1179832Ki,142084n,3280Ki,155538n,3396Ki,0,18376Ki
Sat Feb 11 00:50:20 2023,0.963957,,,,,,,,,,,,,,,,,,
